City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Kalugumalai,IN,81.36,overcast clouds,9.15,77.72,Ganesh Bhavan(Sangu Hotel)
654,San Carlos Del Zulia,VE,89.8,broken clouds,9.0,-71.91,Hotel Bolívar
655,Shahreza,IR,81.43,broken clouds,32.03,51.88,خوابگاه
658,Dingli,MT,78.96,clear sky,35.86,14.38,The Xara Palace Relais & Chateaux
659,Port Hawkesbury,CA,82.58,scattered clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
663,Lipari,IT,81.32,clear sky,38.47,14.95,Hotel Villa Augustus
664,Santa Isabel Do Rio Negro,BR,81.36,broken clouds,-0.41,-65.02,Hotel GSA
673,Mahon,ES,81.16,clear sky,39.89,4.27,ARTIEM Capri
674,Turmalina,BR,77.49,clear sky,-17.29,-42.73,Hotel Cristal
675,Narni,IT,83.95,clear sky,42.52,12.52,Hotel Narnia
678,Ittiri,IT,77.9,clear sky,40.59,8.57,Sa Mariposa
681,Mankachar,IN,81.66,light rain,25.53,89.87,Hotel
683,Sao Gabriel Da Cachoeira,BR,80.91,broken clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
685,Tahoua,NE,89.51,light rain,14.89,5.27,Bungalows Guesthouse
687,Owando,CG,75.2,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
692,Tambopata,PE,89.49,scattered clouds,-12.73,-69.18,Enashawa Lodge
693,Borujerd,IR,77.22,clear sky,33.9,48.75,Zagros Hotel
700,Semnan,IR,86.09,clear sky,35.57,53.4,Semnan Tourist Hotel
702,Misratah,LY,80.96,clear sky,32.38,15.09,Almasa Hotel
707,Methoni,GR,84.22,clear sky,36.82,21.7,Methoni Beach Hotel
708,French Harbor,HN,86.07,scattered clouds,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
710,El Cobre,CU,85.44,scattered clouds,20.05,-75.95,Hospedería del Santuario de Nuestra Señora de la Caridad de El Cobre
711,Kankon,IN,78.4,overcast clouds,15.02,74.02,Palolem Beach Resort
