City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Aklavik,CA,2022-07-22 17:25:10,68.2191,-135.0107,68.02,49,56,3.98
122,Pemba,MZ,2022-07-22 17:25:11,-12.974,40.5178,75.9,83,75,11.5
123,Rengo,CL,2022-07-22 17:25:11,-34.4167,-70.8667,66.52,46,1,2.19
124,Adre,TD,2022-07-22 17:25:12,13.4667,22.2,87.13,41,59,6.04
125,Korla,CN,2022-07-22 17:25:12,41.7597,86.1469,85.53,19,0,4.18
126,Bengkulu,ID,2022-07-22 17:25:13,-3.8004,102.2655,75.81,89,87,4.68
127,Frankfort,ZA,2022-07-22 17:24:58,-27.2667,28.4833,59.41,38,94,3.89
128,Carutapera,BR,2022-07-22 17:25:13,-1.195,-46.02,88.25,52,56,6.33
129,Dunedin,NZ,2022-07-22 17:25:14,-45.8742,170.5036,43.81,77,92,4.0
130,Axim,GH,2022-07-22 17:25:14,4.8699,-2.2405,78.17,68,84,8.39
131,Tura,IN,2022-07-22 17:25:14,25.5198,90.2201,75.74,95,100,2.73
132,Upernavik,GL,2022-07-22 17:25:15,72.7868,-56.1549,42.06,95,100,24.96
133,Lompoc,US,2022-07-22 17:25:15,34.6391,-120.4579,76.93,84,100,7.0
134,Tuktoyaktuk,CA,2022-07-22 17:25:16,69.4541,-133.0374,64.4,82,75,9.22
135,Faanui,PF,2022-07-22 17:25:16,-16.4833,-151.75,77.65,74,13,10.29
136,Praia Da Vitoria,PT,2022-07-22 17:25:17,38.7333,-27.0667,77.25,78,40,3.49
137,Longyearbyen,SJ,2022-07-22 17:21:31,78.2186,15.6401,51.64,76,75,5.75
138,Dongsheng,CN,2022-07-22 17:26:17,39.8161,109.9776,67.21,39,2,8.14
139,Lithakia,GR,2022-07-22 17:22:34,37.7167,20.8333,94.28,24,0,11.5
140,Pimentel,PE,2022-07-22 17:26:18,-6.8367,-79.9342,70.09,60,20,10.36
141,Severo-Kurilsk,RU,2022-07-22 17:26:18,50.6789,156.125,54.45,93,100,3.42
142,Lipin Bor,RU,2022-07-22 17:26:19,60.2622,37.9763,69.94,61,92,5.21
143,Vanimo,PG,2022-07-22 17:24:06,-2.6741,141.3028,76.96,91,60,4.41
144,Imperia,IT,2022-07-22 17:26:20,43.9667,7.7833,85.82,71,5,5.1
145,Goderich,CA,2022-07-22 17:22:56,43.7501,-81.7165,76.91,75,0,6.71
146,Ukiah,US,2022-07-22 17:23:27,39.1502,-123.2078,90.45,32,0,3.44
147,Huarmey,PE,2022-07-22 17:26:21,-10.0681,-78.1522,65.86,75,59,6.35
148,Ponta Do Sol,PT,2022-07-22 17:24:26,32.6667,-17.1,74.12,60,0,3.71
149,Avarua,CK,2022-07-22 17:26:21,-21.2078,-159.775,75.25,83,75,11.5
150,Severomuysk,RU,2022-07-22 17:26:22,56.1481,113.4267,55.74,91,100,5.3
151,Mattawa,US,2022-07-22 17:26:22,46.7379,-119.9028,85.01,28,0,16.75
152,Marevo,RU,2022-07-22 17:26:23,57.3146,32.0804,70.05,68,37,3.13
153,Kangaatsiaq,GL,2022-07-22 17:26:23,68.3065,-53.4641,42.31,94,100,21.32
154,Manitouwadge,CA,2022-07-22 17:26:24,49.1215,-85.8403,73.09,49,30,11.43
155,Saint-Philippe,RE,2022-07-22 17:26:24,-21.3585,55.7679,67.59,81,35,14.23
156,Batemans Bay,AU,2022-07-22 17:26:25,-35.7167,150.1833,52.11,93,56,4.68
157,Sydney,AU,2022-07-22 17:26:18,-33.8679,151.2073,57.27,88,75,13.8
158,Mogadishu,SO,2022-07-22 17:26:26,2.0371,45.3438,75.97,81,47,17.96
159,Mount Isa,AU,2022-07-22 17:26:26,-20.7333,139.5,44.37,57,0,6.91
160,Wanlaweyn,SO,2022-07-22 17:26:26,2.6185,44.8938,75.0,75,44,17.98
161,Itaituba,BR,2022-07-22 17:24:27,-4.2761,-55.9836,89.76,58,40,8.05
162,Seydi,TM,2022-07-22 17:22:47,39.4816,62.9137,99.45,11,0,12.66
163,Chongwe,ZM,2022-07-22 17:26:27,-15.3292,28.682,64.8,49,84,6.33
164,Carnarvon,AU,2022-07-22 17:26:28,-24.8667,113.6333,64.13,65,0,15.48
165,Cap Malheureux,MU,2022-07-22 17:26:28,-19.9842,57.6142,69.48,77,45,8.01
166,Columbus,US,2022-07-22 17:23:53,39.9612,-82.9988,89.11,59,75,14.97
167,Bongandanga,CD,2022-07-22 17:26:29,1.5,21.05,70.68,97,100,3.2
168,Barrow,US,2022-07-22 17:26:29,71.2906,-156.7887,37.42,93,100,11.5
169,Pangnirtung,CA,2022-07-22 17:26:30,66.1451,-65.7125,54.01,58,39,3.2
170,Kemijarvi,FI,2022-07-22 17:26:30,66.7131,27.4306,68.13,49,91,7.54
171,Cookeville,US,2022-07-22 17:26:30,36.1628,-85.5016,88.65,66,0,1.99
172,Ginda,IN,2022-07-22 17:26:31,30.6945,78.4932,67.8,95,100,1.03
173,Cavalcante,BR,2022-07-22 17:26:31,-13.7975,-47.4583,83.66,25,0,6.78
174,Fukue,JP,2022-07-22 17:26:32,32.6881,128.8419,77.65,78,18,7.56
175,Bluff,NZ,2022-07-22 17:26:32,-46.6,168.3333,33.8,84,83,7.25
176,Tan An,VN,2022-07-22 17:26:32,10.5333,106.4167,80.62,90,99,3.6
177,Ibirataia,BR,2022-07-22 17:26:33,-14.0669,-39.6406,80.53,52,76,5.53
178,Fallon,US,2022-07-22 17:26:34,39.4735,-118.7774,87.93,10,20,6.91
179,Tabou,CI,2022-07-22 17:26:34,4.423,-7.3528,79.0,63,31,7.45
180,Monticello,US,2022-07-22 17:23:20,45.3055,-93.7941,88.92,47,40,5.75
181,Souillac,MU,2022-07-22 17:27:35,-20.5167,57.5167,70.18,83,40,12.66
182,Narrabri,AU,2022-07-22 17:27:35,-30.3167,149.7833,47.52,89,10,1.01
183,Georgetown,MY,2022-07-22 17:27:36,5.4112,100.3354,78.73,97,40,3.44
184,Severodvinsk,RU,2022-07-22 17:27:36,64.5635,39.8302,73.51,63,66,9.08
185,Talnakh,RU,2022-07-22 17:23:58,69.4865,88.3972,67.21,62,74,5.53
186,Martin,US,2022-07-22 17:27:37,27.0837,-80.4164,91.94,81,100,5.88
187,Sakakah,SA,2022-07-22 17:27:37,29.9697,40.2064,103.57,12,5,6.67
188,Tocopilla,CL,2022-07-22 17:27:38,-22.092,-70.1979,65.97,68,39,7.52
189,Krasnyy Chikoy,RU,2022-07-22 17:27:38,50.3643,108.7512,57.29,83,100,2.33
190,Esmeraldas,BR,2022-07-22 17:27:38,-19.7625,-44.3139,78.91,25,3,5.08
191,Rabo De Peixe,PT,2022-07-22 17:27:39,37.8,-25.5833,71.11,78,20,6.91
192,Illora,ES,2022-07-22 17:27:39,37.2877,-3.8811,101.68,16,20,9.22
193,Kodinar,IN,2022-07-22 17:27:40,20.7903,70.7031,80.35,85,92,14.52
194,Leningradskiy,RU,2022-07-22 17:27:40,69.3833,178.4167,32.27,94,97,8.57
195,Luderitz,NA,2022-07-22 17:27:41,-26.6481,15.1594,61.07,68,13,14.36
196,College,US,2022-07-22 17:26:47,64.8569,-147.8028,53.08,85,100,5.75
197,Kruisfontein,ZA,2022-07-22 17:27:41,-34.0033,24.7314,52.88,73,100,4.79
198,Marion,US,2022-07-22 17:25:37,39.7684,-86.1555,89.92,45,40,6.91
199,Gat,IL,2022-07-22 17:22:44,31.61,34.7642,83.8,100,0,9.62
200,Oga,IT,2022-07-22 17:27:42,46.4631,10.347,77.68,56,54,8.37
201,Tasiilaq,GL,2022-07-22 17:27:43,65.6145,-37.6368,42.96,75,67,4.56
202,Karangampel,ID,2022-07-22 17:27:43,-6.4622,108.4519,78.91,79,99,6.22
203,Mezen,RU,2022-07-22 17:27:43,65.8522,44.24,70.32,69,100,5.88
204,Pogar,RU,2022-07-22 17:27:44,52.554,33.2591,65.53,81,6,10.31
205,Ventspils,LV,2022-07-22 17:27:45,57.3894,21.5606,69.73,88,0,5.75
206,Codrington,AU,2022-07-22 17:27:45,-38.2667,141.9667,51.15,91,100,7.27
